country,rank,account,title,link,followers,views_avg,likes_avg,comments_avg,shares_avg,engagement_per_view,engagement_per_1k_followers,kol_score
All,46,kaliandarie,Kali and arie,https://www.tiktok.com/@kaliandarie,327000.0,8700000.0,1500000.0,7900.0,7400.0,0.17417241379310344,4633.944954128441,0.8514
All,47,nilered,NileRed,https://www.tiktok.com/@nilered,8400000.0,6500000.0,1200000.0,10800.0,12200.0,0.18815384615384614,145.59523809523807,0.7427999999999999
All,48,.raquel_e,"Fe, Fuerza y Esperanza 🙏🏻",https://www.tiktok.com/@.raquel_e,717700.0,7200000.0,194700.0,1300.0,128900.0,0.045125,452.6961125818587,0.36800000000000005
All,49,mackenzieziegler,Mackenzie Ziegler,https://www.tiktok.com/@mackenzieziegler,22000000.0,10300000.0,1600000.0,7300.0,3400.0,0.15637864077669902,73.21363636363637,0.5718000000000001
All,50,kimandnorth,Kim and North,https://www.tiktok.com/@kimandnorth,5700000.0,12700000.0,1600000.0,0.0,8600.0,0.12666141732283465,282.2105263157895,0.5803
All,51,kimandnorth,Kim and North,https://www.tiktok.com/@kimandnorth,5700000.0,12700000.0,1600000.0,0.0,8600.0,0.12666141732283465,282.2105263157895,0.5803
All,52,druskitv,DRUSKI,https://www.tiktok.com/@druskitv,3000000.0,4800000.0,866700.0,9000.0,31800.0,0.1890625,302.5,0.8124
All,53,nicolebernaal,nicolebernaal,https://www.tiktok.com/@nicolebernaal,3400000.0,8700000.0,893400.0,19600.0,1300.0,0.1050919540229885,268.9117647058824,0.46540000000000004
All,54,alexisomman,Alexis Omman,https://www.tiktok.com/@alexisomman,9000000.0,3700000.0,799200.0,11100.0,43500.0,0.23075675675675675,94.86666666666667,0.7604
All,55,trungruoi93,Trung Ruồi,https://www.tiktok.com/@trungruoi93,1900000.0,20400000.0,677000.0,2900.0,8700.0,0.03375490196078432,362.4210526315789,0.3366
All,56,the_trickstars,The Trickstars,https://www.tiktok.com/@the_trickstars,1600000.0,4200000.0,744200.0,9600.0,41200.0,0.18928571428571428,496.875,0.8466
All,57,os.sksk,Osama Dawood,https://www.tiktok.com/@os.sksk,3200000.0,12600000.0,835500.0,5800.0,9100.0,0.06749206349206349,265.75,0.35940000000000005
All,58,alexitoxedits,ALEX <3,https://www.tiktok.com/@alexitoxedits,1900000.0,3400000.0,1500000.0,16700.0,15100.0,0.4505294117647059,806.2105263157895,0.9666
All,59,soysuco,soysuco,https://www.tiktok.com/@soysuco,8000000.0,6200000.0,951700.0,20200.0,4000.0,0.1574032258064516,121.9875,0.6408
All,60,evcnoble,Everett Noble,https://www.tiktok.com/@evcnoble,9400000.0,4600000.0,1000000.0,5400.0,25400.0,0.22408695652173913,109.65957446808511,0.7668
All,61,nekoglai,Николай,https://www.tiktok.com/@nekoglai,8800000.0,8900000.0,983100.0,11200.0,5100.0,0.11229213483146068,113.56818181818181,0.4146
All,62,evlawler,Lawler,https://www.tiktok.com/@evlawler,4600000.0,6800000.0,1000000.0,7700.0,12100.0,0.1499705882352941,221.69565217391303,0.6672
All,63,ahw5d,Ahmed Ali,https://www.tiktok.com/@ahw5d,2500000.0,10500000.0,649100.0,17700.0,689.0,0.06357038095238095,266.9956,0.353
All,64,axelwebber,Axel,https://www.tiktok.com/@axelwebber,4100000.0,7300000.0,1600000.0,8100.0,2700.0,0.22065753424657533,392.8780487804878,0.8806
All,65,madison.darwin,madison darwin,https://www.tiktok.com/@madison.darwin,50500.0,18700000.0,601900.0,4800.0,5400.0,0.03273262032085562,12120.79207920792,0.40240000000000004
All,66,strangehumano,strangehumman NOVA,https://www.tiktok.com/@strangehumano,7600000.0,7800000.0,1100000.0,6800.0,6200.0,0.1426923076923077,146.44736842105263,0.5958
All,67,alexschlab,Alex,https://www.tiktok.com/@alexschlab,997700.0,5200000.0,1800000.0,7600.0,4500.0,0.3484807692307692,1816.2774381076476,0.9728
All,68,masonramsey,Mason Ramsey,https://www.tiktok.com/@masonramsey,1800000.0,10200000.0,1000000.0,6100.0,4100.0,0.09903921568627451,561.2222222222222,0.4978
All,69,connordewolfe,Connor DeWolfe,https://www.tiktok.com/@connordewolfe,5100000.0,4600000.0,1100000.0,5600.0,15900.0,0.24380434782608695,219.90196078431373,0.8528
All,70,drewafualo,Drew Afualo,https://www.tiktok.com/@drewafualo,5700000.0,5000000.0,1100000.0,13200.0,5300.0,0.2237,196.22807017543857,0.8286
All,71,johnnysins,JohnnySins,https://www.tiktok.com/@johnnysins,6900000.0,6000000.0,667400.0,10600.0,14200.0,0.11536666666666667,100.31884057971014,0.41500000000000004
All,72,fujiiian,Fuji,https://www.tiktok.com/@fujiiian,10300000.0,9300000.0,1200000.0,5400.0,3200.0,0.12995698924731183,117.3398058252427,0.5134
All,73,willsmith,Will Smith,https://www.tiktok.com/@willsmith,65599999.99999999,4800000.0,736600.0,6400.0,20100.0,0.15897916666666667,11.632621951219514,0.42479999999999996
All,74,jdpantoja,JD Pantoja,https://www.tiktok.com/@jdpantoja,25700000.0,6500000.0,1200000.0,10000.0,1900.0,0.18644615384615384,47.1556420233463,0.6059999999999999
All,75,thongsoaicavip,Thông Soái Ca,https://www.tiktok.com/@thongsoaicavip,873900.0,8900000.0,484300.0,12200.0,8400.0,0.05673033707865169,577.7548918640578,0.3908
