country,rank,account,title,link,followers,views_avg,likes_avg,comments_avg,shares_avg,engagement_per_view,engagement_per_1k_followers,kol_score,like_view_ratio,comment_view_ratio,share_view_ratio,follower_tier
All,48,.raquel_e,"Fe, Fuerza y Esperanza 🙏🏻",https://www.tiktok.com/@.raquel_e,717700.0,7200000.0,194700.0,1300.0,128900.0,0.045125,452.6961125818587,0.36800000000000005,0.027041666666666665,0.00018055555555555555,0.017902777777777778,Mid (100k-1M)
All,49,mackenzieziegler,Mackenzie Ziegler,https://www.tiktok.com/@mackenzieziegler,22000000.0,10300000.0,1600000.0,7300.0,3400.0,0.15637864077669902,73.21363636363637,0.5718000000000001,0.1553398058252427,0.0007087378640776698,0.0003300970873786408,Mega (10M+)
All,50,kimandnorth,Kim and North,https://www.tiktok.com/@kimandnorth,5700000.0,12700000.0,1600000.0,0.0,8600.0,0.12666141732283465,282.2105263157895,0.5803,0.12598425196850394,0.0,0.0006771653543307086,Macro (1M-10M)
All,51,kimandnorth,Kim and North,https://www.tiktok.com/@kimandnorth,5700000.0,12700000.0,1600000.0,0.0,8600.0,0.12666141732283465,282.2105263157895,0.5803,0.12598425196850394,0.0,0.0006771653543307086,Macro (1M-10M)
All,52,druskitv,DRUSKI,https://www.tiktok.com/@druskitv,3000000.0,4800000.0,866700.0,9000.0,31800.0,0.1890625,302.5,0.8124,0.1805625,0.001875,0.006625,Macro (1M-10M)
All,53,nicolebernaal,nicolebernaal,https://www.tiktok.com/@nicolebernaal,3400000.0,8700000.0,893400.0,19600.0,1300.0,0.1050919540229885,268.9117647058824,0.46540000000000004,0.1026896551724138,0.0022528735632183906,0.00014942528735632183,Macro (1M-10M)
All,54,alexisomman,Alexis Omman,https://www.tiktok.com/@alexisomman,9000000.0,3700000.0,799200.0,11100.0,43500.0,0.23075675675675675,94.86666666666667,0.7604,0.216,0.003,0.011756756756756756,Macro (1M-10M)
All,55,trungruoi93,Trung Ruồi,https://www.tiktok.com/@trungruoi93,1900000.0,20400000.0,677000.0,2900.0,8700.0,0.03375490196078432,362.4210526315789,0.3366,0.03318627450980392,0.00014215686274509804,0.0004264705882352941,Macro (1M-10M)
All,56,the_trickstars,The Trickstars,https://www.tiktok.com/@the_trickstars,1600000.0,4200000.0,744200.0,9600.0,41200.0,0.18928571428571428,496.875,0.8466,0.1771904761904762,0.002285714285714286,0.00980952380952381,Macro (1M-10M)
All,57,os.sksk,Osama Dawood,https://www.tiktok.com/@os.sksk,3200000.0,12600000.0,835500.0,5800.0,9100.0,0.06749206349206349,265.75,0.35940000000000005,0.0663095238095238,0.00046031746031746033,0.0007222222222222222,Macro (1M-10M)
All,58,alexitoxedits,ALEX <3,https://www.tiktok.com/@alexitoxedits,1900000.0,3400000.0,1500000.0,16700.0,15100.0,0.4505294117647059,806.2105263157895,0.9666,0.4411764705882353,0.004911764705882353,0.004441176470588236,Macro (1M-10M)
